Country,CountryContinent,TotalN,Proportion_low,N_lowPA,N_highPA,Variance,Proportion_highPA
0,Asia,896,0.57660714,516.64,379.36,0.00486,0.42339286
0,Australia,715,0.478,341.77,373.23,0.00486,0.522
0,North America,765,0.58983007,451.22,313.78,0.0048616840294898,0.41016993
1,Germany,225,0.384,86.4,138.6,0.00373402974882823,0.616
1,Italy,819,0.63230769,517.86,301.14,0.00922530888234616,0.36769231
1,Spain,963,0.62,597.06,365.94,0.0100539089082797,0.38
1,Netherlands,967,0.44,425.48,541.52,0.00932942741246379,0.56
1,Sweden,402,0.66609453,267.77,134.23,0.0094037054900532,0.33390547
1,Serbia,106,0.51,54.06,51.94,0.0103236028612716,0.49
1,US North East,280,0.43,120.4,159.6,0.00919660812132568,0.57
1,US South East,351,0.66,231.66,119.34,0.009476490200441,0.34
1,US Mexican South West,134,0.74,99.16,34.84,0.0100024210322176,0.26
1,Brazil,106,0.89,94.34,11.66,0.0122860166685468,0.11
1,Japan,127,0.53,67.31,59.69,0.0196101939612334,0.47
1,Israel,42,0.57,23.94,18.06,0.0183250038750366,0.43
1,Vietnam,126,0.41,51.66,74.34,0.0170255428483852,0.59
1,Hong Kong,167,0.83,138.61,28.39,0.0177206912861047,0.17
1,Thailand,400,0.53,212,188,0.0205765540366521,0.47
1,Taiwan,34,0.68,23.12,10.88,0.0195385070106981,0.32
0,Total,7625,0.566617705,4320.46,3304.54,0.0189523150981809,0.433382295